日期,收盘,momentum_20d
2020-08-05,1453.79,-0.009092582116104309
2020-08-06,1423.75,-0.04560963674511831
2020-08-07,1416.79,-0.055246592515537096
2020-08-10,1419.78,-0.09440100014032582
2020-08-11,1428.3,-0.07720039540247714
2020-08-12,1412.74,-0.0816345103749545
2020-08-13,1420.79,0.015002250337550649
2020-08-14,1446.79,0.009031691123137842
2020-08-17,1475.79,0.03727991565629929
2020-08-18,1490.79,0.02545071846690372
2020-08-19,1472.79,0.006093437258773093
2020-08-20,1449.79,-0.008209113484152986
2020-08-21,1461.79,0.058432107972688385
2020-08-24,1482.14,0.05240211880653822
2020-08-25,1512.79,0.03915399885972559
2020-08-26,1512.79,0.03772834221664301
2020-08-27,1516.79,0.03479352431112237
2020-08-28,1542.79,0.053839901090869224
2020-08-31,1572.29,0.08151108481967828
2020-09-01,1587.77,0.09066617208644168
2020-09-02,1580.79,0.08735787149450736
2020-09-03,1578.79,0.10889552238805966
2020-09-04,1555.79,0.09810910579549548
2020-09-07,1509.29,0.06304497879953241
2020-09-08,1497.19,0.04823216411118114
2020-09-09,1473.79,0.043213896399903806
2020-09-10,1491.59,0.04983143180906402
2020-09-11,1518.79,0.04976534258600074
2020-09-14,1551.79,0.05149784183386519
2020-09-15,1545.79,0.03689319085853815
2020-09-16,1510.89,0.02586926853115523
2020-09-17,1456.31,0.004497203043199338
2020-09-18,1480.79,0.012997763016575625
2020-09-21,1452.59,-0.01993738783110921
2020-09-22,1451.48,-0.04052776657698687
2020-09-23,1435.77,-0.05091255230402103
2020-09-24,1415.11,-0.06703630693767759
2020-09-25,1420.9,-0.07900621601125224
2020-09-28,1446.79,-0.07981988055638589
2020-09-29,1438.09,-0.0942705807516202
2020-09-30,1454.29,-0.08002327949949073
2020-10-09,1481.79,-0.06143945679919427
2020-10-12,1536.4,-0.012463121629525786
2020-10-13,1524.79,0.010269729475448797
2020-10-14,1514.79,0.011755355031759507
2020-10-15,1510.79,0.02510534065233183
2020-10-16,1497.79,0.004156638218277164
2020-10-19,1484.79,-0.022386241679231533
2020-10-20,1519.79,-0.0206213469606068
2020-10-21,1519.12,-0.01725331383952544
2020-10-22,1528.29,0.011516391001330284
2020-10-23,1501.12,0.030769547692455657
2020-10-26,1428.79,-0.035116390575301026
2020-10-27,1410.79,-0.02877618598503362
2020-10-28,1450.6,-0.0006062777303167399
2020-10-29,1461.79,0.01812267981640514
2020-10-30,1455.81,0.028761015044766802
2020-11-02,1459.8,0.027377014568231273
2020-11-03,1480.79,0.023500300665611373
2020-11-04,1485.37,0.032876940942500044
2020-11-05,1507.69,0.03671894876537696
2020-11-06,1486.41,0.0031178507075901862
2020-11-09,1528.36,-0.005233012236396939
2020-11-10,1530.79,0.003934968093967095
2020-11-11,1517.14,0.0015513701569196403
2020-11-12,1520.58,0.00648005348195313
2020-11-13,1490.79,-0.004673552367154277
2020-11-16,1515.84,0.020912048168427733
2020-11-17,1501.59,-0.011975338698109628
2020-11-18,1479.44,-0.026120385486334108
2020-11-19,1505.98,-0.01459801477468281
2020-11-20,1505.75,0.003084363675122548
2020-11-23,1576.0,0.1030312362208583
2020-11-24,1549.29,0.09817194621453229
2020-11-25,1512.67,0.04278919067971887
2020-11-26,1520.18,0.03994417802830785
2020-11-27,1523.69,0.046626963683447764
2020-11-30,1499.7,0.02733251130291836
2020-12-01,1522.79,0.028363238541589286
2020-12-02,1523.8,0.025872341571460344
2020-12-03,1534.79,0.017974517307934645
2020-12-04,1578.9,0.06222374714917156
2020-12-07,1598.19,0.04568949723887061
2020-12-08,1635.79,0.06859203417843074
2020-12-09,1625.79,0.07161501245765045
2020-12-10,1618.69,0.06452143261124044
2020-12-11,1605.79,0.07714030815876138
2020-12-14,1614.79,0.06527733797762303
2020-12-15,1601.8,0.06673592658448713
2020-12-16,1625.79,0.09892256529497634
2020-12-17,1651.3,0.09649530538254147
2020-12-18,1630.79,0.08304167358459247
2020-12-21,1628.29,0.03317893401015226
2020-12-22,1666.79,0.07584119177171478
2020-12-23,1627.44,0.07587246392141056
2020-12-24,1616.13,0.06311752555618422
2020-12-25,1615.79,0.0604453661834099
2020-12-28,1658.79,0.10608121624324851
2020-12-29,1652.79,0.08536961760978201
2020-12-30,1718.79,0.1279629872686705
2020-12-31,1783.79,0.1622371790277497
2021-01-04,1782.79,0.12913420735955405
2021-01-05,1845.24,0.15458111989187762
2021-01-06,1885.79,0.1528313536578656
2021-01-07,1925.79,0.18452567674791953
2021-01-08,1875.79,0.1588321420407861
2021-01-11,1885.52,0.17420086063557494
2021-01-12,1946.69,0.20553756215978547
2021-01-13,1949.79,0.2172493444874517
2021-01-14,1919.79,0.180835163212961
2021-01-15,1867.79,0.13110276751650218
2021-01-18,1848.79,0.13367754278601174
2021-01-19,1795.2,0.10250631030099067
2021-01-20,1826.42,0.09577091295244156
2021-01-21,1855.79,0.14031239246915406
2021-01-22,1865.74,0.15444920891264924
2021-01-25,1960.79,0.21351784575965937
2021-01-26,1927.68,0.16210008500171824
2021-01-27,1874.79,0.13431833445265284
2021-01-28,1873.79,0.09017971945380188
2021-01-29,1901.97,0.06625219336356869
2021-02-01,1895.11,0.06300237268550979
2021-02-02,1930.79,0.04636253278706293
2021-02-03,1975.7,0.04767763112541701
2021-02-04,2106.64,0.09390951245982171
2021-02-05,2098.79,0.11888324385992033
2021-02-08,2154.59,0.14270333913191058
2021-02-09,2242.22,0.15181153650555546
2021-02-10,2386.79,0.2241267008241914
2021-02-18,2256.79,0.17554003302444543
2021-02-19,2245.79,0.20237821168332637
2021-02-22,2073.81,0.12171203868476144
2021-02-23,2092.79,0.16576983065953654
2021-02-24,1974.79,0.08123542230155167
2021-02-25,1935.79,0.043108325834280814
2021-02-26,1908.57,0.022956038890735053
2021-03-01,1943.79,-0.008669974857072882
2021-03-02,1843.79,-0.043518633798140804
2021-03-03,1925.79,0.02720304674123497
2021-03-04,1818.79,-0.029352275335016165
2021-03-05,1845.9,-0.029479960251738935
2021-03-08,1745.79,-0.07879226007988982
2021-03-09,1722.78,-0.10773310406621128
2021-03-10,1755.8,-0.11130232322721068
2021-03-11,1833.79,-0.12951904454486762
2021-03-12,1811.79,-0.13674545809728467
2021-03-15,1761.24,-0.1825637360240232
2021-03-16,1796.29,-0.19887878977085205
2021-03-17,1816.15,-0.23908261723905322
2021-03-18,1855.49,-0.17781893751744737
2021-03-19,1795.79,-0.20037492374620958
2021-03-22,1775.78,-0.1437113332465365
2021-03-23,1781.79,-0.14860545014072124
2021-03-24,1774.79,-0.10127659143503864
2021-03-25,1756.79,-0.09246870786603922
2021-03-26,1798.79,-0.05751950413136531
2021-03-29,1819.89,-0.06374145355208116
2021-03-30,1841.84,-0.0010576041740111286
2021-03-31,1794.79,-0.06802403169608318
2021-04-01,1830.29,0.006322884994969247
2021-04-02,1947.79,0.05519800639254546
2021-04-06,1911.82,0.0951030765441434
2021-04-07,1846.79,0.07198249341181118
2021-04-08,1855.79,0.056948399589930476
2021-04-09,1805.79,-0.015268923922586608
2021-04-12,1794.68,-0.009443699324976906
2021-04-13,1806.79,0.02586246053916552
2021-04-14,1832.79,0.02031965885241238
2021-04-15,1801.39,-0.0081270820141508
2021-04-16,1840.77,-0.00793321440697603
2021-04-19,1873.79,0.04343492279164041
2021-04-20,1880.59,0.0590219509173433
2021-04-21,1865.79,0.04714360278147267
2021-04-22,1841.29,0.03746922171073752
2021-04-23,1894.73,0.07851820650163077
2021-04-26,1863.61,0.03603533486399191
2021-04-27,1880.23,0.03315585007885091
2021-04-28,1827.79,-0.007628241323893503
2021-04-29,1812.15,0.009672440786944403
2021-04-30,1792.57,-0.02060875598948797
2021-05-06,1744.79,-0.10422068087422154
2021-05-07,1688.79,-0.11665847203188584
2021-05-10,1664.82,-0.09853313045879608
2021-05-11,1744.79,-0.05981280209506468
2021-05-12,1769.79,-0.01993587294203647
2021-05-13,1757.29,-0.02083379766866522
2021-05-14,1795.64,-0.006171165437045767
2021-05-17,1843.75,0.005979954059112114
2021-05-18,1845.1,0.02426459567334094
2021-05-19,1834.79,-0.0032486405145673025
2021-05-20,1844.67,-0.015540695595557596
2021-05-21,1827.89,-0.028023120403703028
2021-05-24,1857.08,-0.004668263845341691
2021-05-25,1980.29,0.07549055281894756
2021-05-26,2005.79,0.05861521166604211
2021-05-27,2030.79,0.08970761049790466
2021-05-28,2015.79,0.07209756253224331
2021-05-31,2003.79,0.09629114942088535
2021-06-01,2026.74,0.11841734955715588
2021-06-02,2007.79,0.120062256982991
2021-06-03,2008.01,0.15086056201605924
2021-06-04,2037.29,0.2063607671764991
2021-06-07,2056.79,0.23544287070073655
2021-06-08,1976.79,0.13296729119263628
2021-06-09,1985.29,0.12176585922623584
2021-06-10,2024.27,0.1519271150464636
2021-06-11,1964.6,0.09409458466062226
2021-06-15,1978.79,0.07324203389830508
2021-06-16,1943.79,0.0534876158473796
2021-06-17,1942.7,0.05881327018350868
2021-06-18,1876.73,0.017379802349471785
2021-06-21,1867.43,0.021631498613154942
2021-06-22,1860.76,0.001981605531264252
2021-06-23,1823.79,-0.07902882911088782
2021-06-24,1853.84,-0.07575568728530901
2021-06-25,1897.08,-0.06584137207687646
2021-06-28,1908.09,-0.05342818448350273
2021-06-29,1867.08,-0.06822571227523844
2021-06-30,1861.78,-0.08139179174437772
2021-07-01,1910.08,-0.0486654480797295
2021-07-02,1818.08,-0.09458618233972937
2021-07-05,1799.08,-0.11692493459448583
2021-07-06,1817.98,-0.11610811021057077
2021-07-07,1809.08,-0.08483956313012508
2021-07-08,1790.08,-0.09832820393997854
2021-07-09,1777.19,-0.12205881626462867
2021-07-12,1766.08,-0.10104855950320679
2021-07-13,1787.98,-0.09642761485554296
2021-07-14,1767.08,-0.09091002628884814
2021-07-15,1803.07,-0.07187419570700582
2021-07-16,1760.98,-0.06167642655043615
2021-07-19,1780.08,-0.04677551501261101
2021-07-20,1785.08,-0.04067155355876095
2021-07-21,1774.08,-0.027256427549224416
2021-07-22,1745.09,-0.0586620204548397
2021-07-23,1705.08,-0.1012081725599342
2021-07-26,1609.19,-0.15664879539225085
2021-07-27,1517.97,-0.1869818111703837
2021-07-28,1573.98,-0.1545832482892715
2021-07-29,1554.87,-0.18596603283632107
2021-07-30,1484.07,-0.1837157880841327
2021-08-02,1560.08,-0.13284567667919156
2021-08-03,1554.38,-0.14499609456649687
2021-08-04,1529.08,-0.15477480266212662
2021-08-05,1504.08,-0.1597693957811941
2021-08-06,1476.08,-0.16943039292366047
2021-08-09,1498.88,-0.15129552455154904
2021-08-10,1604.08,-0.10285349947986
2021-08-11,1555.58,-0.11968897842768866
2021-08-12,1495.08,-0.17081422240955701
2021-08-13,1505.12,-0.14529409760474288
2021-08-16,1504.28,-0.1549368567704822
2021-08-17,1440.08,-0.19326864902413343
2021-08-18,1425.08,-0.1967216810966811
2021-08-19,1425.05,-0.18339455271647875
2021-08-20,1353.08,-0.206441926478523
2021-08-23,1375.27,-0.14536505943984246
2021-08-24,1430.26,-0.05778111556881893
2021-08-25,1470.1,-0.06599829731000406
2021-08-26,1400.08,-0.09955173101288206
2021-08-27,1401.11,-0.055900328151637035
2021-08-30,1391.08,-0.10832777806266347
2021-08-31,1363.08,-0.12307157837851757
2021-09-01,1427.09,-0.06670023805163894
2021-09-02,1423.88,-0.05332163182809413
2021-09-03,1463.3,-0.008658067313424778
2021-09-06,1475.75,-0.015431522203245174
2021-09-07,1474.08,-0.08104333948431497
2021-09-08,1438.18,-0.07547024261047319
2021-09-09,1439.16,-0.03740268079300091
2021-09-10,1467.66,-0.02488838099287749
2021-09-13,1459.08,-0.030047597521738023
2021-09-14,1462.08,0.015276929059496736
2021-09-15,1420.82,-0.0029893058635304115
2021-09-16,1443.15,0.012701308726009719
2021-09-17,1491.08,0.10198953498684493
2021-09-22,1442.77,0.04908127131399653
2021-09-23,1440.08,0.006865884524491994
2021-09-24,1499.08,0.019712944697639623
2021-09-27,1660.08,0.18570367407576716
2021-09-28,1627.14,0.16132209462497604
2021-09-29,1625.08,0.16821462460821812
2021-09-30,1635.08,0.1995480822842386
2021-10-08,1644.68,0.15247111254370793
2021-10-11,1672.2,0.17439671882462005
2021-10-12,1676.07,0.14540422333082748
2021-10-13,1734.98,0.17565983398272067
2021-10-14,1716.08,0.16417019429067614
2021-10-15,1722.05,0.19738141261872633
2021-10-18,1605.08,0.1152894744156312
2021-10-19,1617.26,0.10193096493738318
2021-10-20,1646.08,0.128162951997149
2021-10-21,1649.08,0.12789997811337273
2021-10-22,1706.08,0.20077138553792873
2021-10-25,1678.11,0.16281051865710405
2021-10-26,1666.13,0.11739812753172219
2021-10-27,1624.08,0.12566798588825656
2021-10-28,1630.57,0.13227737347925106
2021-10-29,1631.16,0.08810737252181355
2021-11-01,1608.08,-0.03132379162450005
2021-11-02,1609.72,-0.010705901151714103
2021-11-03,1570.08,-0.03384448765599235
2021-11-04,1609.28,-0.01577904445042444
2021-11-05,1625.02,-0.011953693119634234
2021-11-08,1625.18,-0.028118646094964728
2021-11-09,1595.09,-0.04831540448787941
2021-11-10,1559.07,-0.10139021775467161
2021-11-11,1574.68,-0.0823970910447065
2021-11-12,1578.86,-0.08315089573473478
2021-11-15,1566.22,-0.02421063124579459
2021-11-16,1613.08,-0.0025846184287003915
2021-11-17,1600.08,-0.027945178849144603
2021-11-18,1597.08,-0.03153273340286711
2021-11-19,1633.49,-0.04254782894119846
2021-11-22,1659.35,-0.011179243315396437
2021-11-23,1701.51,0.02123483761771272
2021-11-24,1746.08,0.07511945224373173
2021-11-25,1761.11,0.08005789386533535
2021-11-26,1746.09,0.0704590598101964
2021-11-29,1790.08,0.11317844883339134
2021-11-30,1735.85,0.07835524190542453
2021-12-01,1738.07,0.10699454804850705
2021-12-02,1739.08,0.08065718830781465
2021-12-03,1776.96,0.09350038768753621
2021-12-06,1772.38,0.09057458250778372
2021-12-07,1760.95,0.10398159351509961
2021-12-08,1848.08,0.18537333153739088
2021-12-09,1891.63,0.20127899001701932
2021-12-10,1895.08,0.20028374903411317
2021-12-13,1923.28,0.2279756356067475
2021-12-14,1955.08,0.21201676296277938
2021-12-15,1940.08,0.21248937553122338
2021-12-16,1924.07,0.20474240488892237
2021-12-17,1855.78,0.1360828655210622
2021-12-20,1864.04,0.12335553078012484
2021-12-21,1843.28,0.08332010978483817
2021-12-22,1853.08,0.06128012462201049
2021-12-23,1925.08,0.09310605243284065
2021-12-24,1999.17,0.14494098242358655
2021-12-27,1936.9,0.08201868072935303
2021-12-28,1943.26,0.11948613071405956
2021-12-29,1846.08,0.06214364208576173
2021-12-30,1880.08,0.08107735124318616
2021-12-31,1855.08,0.043962722852512126
2022-01-04,1856.31,0.04735440481160924
2022-01-05,1829.08,0.03868934382009703
2022-01-06,1787.3,-0.03288818665858617
2022-01-07,1747.08,-0.07641557809931132
2022-01-10,1771.08,-0.06543259387466493
2022-01-11,1745.63,-0.09236824591323145
2022-01-12,1772.08,-0.09360230783395052
2022-01-13,1682.47,-0.1327831841985897
2022-01-14,1672.08,-0.13096716855415869
2022-01-17,1666.69,-0.10189246570175337
2022-01-18,1697.35,-0.08942404669427695
2022-01-19,1717.08,-0.06846491037715374
2022-01-20,1774.6,-0.04235111274202952
2022-01-21,1790.07,-0.07013215035219311
2022-01-24,1755.28,-0.12199562818569709
2022-01-25,1748.08,-0.09748567298260113
2022-01-26,1760.08,-0.09426427755421307
2022-01-27,1770.08,-0.04116831339920268
2022-01-28,1692.08,-0.09999574486192075
2022-02-07,1673.04,-0.09813053884468592
2022-02-08,1644.08,-0.11432896445098073
2022-02-09,1701.06,-0.06999147112209414
2022-02-10,1678.08,-0.06110893526548422
2022-02-11,1655.05,-0.05267646587448771
2022-02-14,1673.75,-0.054955168597691784
2022-02-15,1695.7,-0.028602853983948573
2022-02-16,1697.63,-0.042012775946909775
2022-02-17,1692.07,0.005705896687608014
2022-02-18,1712.08,0.023922300368403482
2022-02-21,1682.07,0.00922787080980858
2022-02-22,1612.95,-0.04972457065425506
2022-02-23,1632.09,-0.04949682018310153
2022-02-24,1569.19,-0.1157500281753634
2022-02-25,1604.14,-0.10386744652443747
2022-02-28,1595.48,-0.09103960621667195
2022-03-01,1663.56,-0.04835018992265805
2022-03-02,1649.96,-0.0625653379391845
2022-03-03,1605.08,-0.09321612582482153
2022-03-04,1585.58,-0.06294028651127603
2022-03-07,1512.08,-0.09620810022474058
2022-03-08,1558.28,-0.052187241496764125
2022-03-09,1584.26,-0.06866306890997376
2022-03-10,1599.51,-0.04682136727688779
2022-03-11,1574.09,-0.04891695114951211
2022-03-14,1505.08,-0.10077371172516802
2022-03-15,1408.08,-0.16961726720528403
2022-03-16,1480.03,-0.1281786961823248
2022-03-17,1525.23,-0.09860112170300284
2022-03-18,1512.87,-0.11635554413345173
2022-03-21,1509.38,-0.10266516851260643
2022-03-22,1500.08,-0.06997737065625109
2022-03-23,1557.27,-0.04584306012536066
2022-03-24,1526.01,-0.027517381579031275
2022-03-25,1495.08,-0.06798658471205765
2022-03-28,1465.88,-0.08122947326196495
2022-03-29,1472.08,-0.11510255115535362
2022-03-30,1535.18,-0.06956532279570415
2022-03-31,1524.08,-0.0504647743414659
2022-04-01,1585.09,-0.0003090351795557167
2022-04-06,1570.08,0.038357758848738266
2022-04-07,1570.08,0.007572451677490433
2022-04-08,1589.08,0.0030424299041824643
2022-04-11,1525.08,-0.04653300073147404
2022-04-12,1587.08,0.008252387093495406
2022-04-13,1574.08,0.04584473915007847
2022-04-14,1614.08,0.14629850576671788
2022-04-15,1611.07,0.088538745836233
2022-04-18,1595.9,0.04633399552854334
2022-04-19,1595.38,0.05453872441121854
2022-04-20,1602.08,0.06141594562005581
2022-04-21,1585.06,0.05665031198336101
2022-04-22,1578.08,0.013363129065608437
2022-04-25,1513.08,-0.008473076847465011
2022-04-26,1537.56,0.02841319528052022
2022-04-27,1600.0,0.09149452888367393
2022-04-28,1640.08,0.11412423237867508
2022-04-29,1633.46,0.06401855157049985
2022-05-05,1642.08,0.07742375728308226
2022-05-06,1598.08,0.008195118258269352
2022-05-09,1557.08,-0.008279832874757975
2022-05-10,1571.27,0.0007579231631509309
2022-05-11,1573.08,-0.01006871900722428
2022-05-12,1567.75,0.02797886012537054
2022-05-13,1583.32,-0.0023691307306500375
2022-05-16,1563.08,-0.00698820898556618
2022-05-17,1573.08,-0.02540146708961144
2022-05-18,1566.08,-0.027925540168955987
2022-05-19,1561.08,-0.02181840967479176
2022-05-20,1605.09,0.006086324261304288
2022-05-23,1586.08,-0.009987016878058474
2022-05-24,1565.08,-0.012605201064943894
2022-05-25,1560.59,-0.011083088309844835
2022-05-26,1547.88,0.022999444840986705
2022-05-27,1560.24,0.014750643877312175
2022-05-30,1583.49,-0.010318750000000043
2022-05-31,1609.11,-0.018883225208526477
2022-06-01,1593.33,-0.02456748252176366
2022-06-02,1591.08,-0.03105817012569423
2022-06-06,1593.08,-0.003128754505406506
2022-06-07,1622.98,0.04232280936111188
2022-06-08,1670.68,0.06326729333596393
2022-06-09,1658.08,0.0540341241386324
2022-06-10,1705.68,0.08797958858236332
2022-06-13,1661.08,0.049111992522042236
2022-06-14,1676.08,0.07229316477723469
2022-06-15,1680.18,0.06808299641467697
2022-06-16,1682.08,0.07407029015120559
2022-06-17,1756.08,0.12491352140825573
2022-06-20,1747.1,0.08847478957566235
2022-06-21,1750.82,0.10386613537778677
2022-06-22,1741.08,0.11245431543435469
2022-06-23,1762.18,0.12917550413625634
2022-06-24,1814.09,0.17198361630100512
2022-06-27,1815.63,0.16368635594523928
2022-06-28,1841.08,0.1626723250541524
2022-06-29,1835.08,0.14043166719490907
2022-06-30,1871.76,0.1747472275046602
2022-07-01,1855.81,0.16638383990748418
2022-07-04,1844.76,0.15798327767594844
2022-07-05,1859.77,0.1458982858692035
2022-07-06,1828.76,0.09462015466756046
2022-07-07,1816.76,0.09570105181897137
2022-07-08,1825.76,0.07040007504338441
2022-07-11,1790.36,0.07782888241385111
2022-07-12,1775.17,0.05912008973318694
2022-07-13,1785.65,0.06277303622230956
2022-07-14,1779.76,0.05807095976410159
2022-07-15,1776.26,0.011491503803926939
2022-07-18,1778.42,0.01792685020891782
2022-07-19,1769.86,0.010874904330542279
2022-07-20,1776.86,0.020550462931054225
2022-07-21,1765.76,0.002031574527006308
2022-07-22,1773.76,-0.02223153206290751
2022-07-25,1771.41,-0.024355182498636885
2022-07-26,1776.97,-0.034821952332326656
2022-07-27,1746.36,-0.04834666608540228
2022-07-28,1724.76,-0.07853570970637258
2022-07-29,1725.2,-0.07037897198527865
2022-08-01,1717.06,-0.06922309677139571
2022-08-02,1706.74,-0.0822843684971798
2022-08-03,1711.76,-0.06397777729171683
2022-08-04,1742.77,-0.04072634800413921
2022-08-05,1750.72,-0.041100692314433473
2022-08-08,1738.29,-0.029083536272034638
2022-08-09,1736.76,-0.0216373643087705
2022-08-10,1702.76,-0.04642007112256041
2022-08-11,1733.66,-0.025902368858722435
2022-08-12,1754.76,-0.012104083861596893
2022-08-15,1746.65,-0.017864171568021003
2022-08-16,1744.6,-0.014272315324375895
2022-08-17,1744.76,-0.01806557635379258
2022-08-18,1722.26,-0.024635284523378043
2022-08-19,1721.77,-0.0293106169944074
2022-08-22,1720.74,-0.028604332142191824
2022-08-23,1696.77,-0.04513300731019665
2022-08-24,1680.96,-0.03744932316360883
2022-08-25,1711.76,-0.007537280549177905
2022-08-26,1724.76,-0.0002550428935775839
2022-08-29,1705.58,-0.0066858467380289666
2022-08-30,1696.76,-0.005847404994316685
2022-08-31,1750.76,0.022783567789877113
2022-09-01,1707.65,-0.020151827263494293
2022-09-02,1701.76,-0.027965636995064935
2022-09-05,1661.76,-0.04402602557685997
2022-09-06,1671.76,-0.03742601165388426
2022-09-07,1644.77,-0.034056473020272926
2022-09-08,1641.76,-0.053009240566201044
2022-09-09,1671.55,-0.047419590143381485
2022-09-13,1705.76,-0.023410528726419244
2022-09-14,1695.76,-0.02799495586380829
2022-09-15,1706.76,-0.021779499759279175
2022-09-16,1685.76,-0.021193083506555355
2022-09-19,1698.4,-0.013573241489862164
2022-09-20,1704.76,-0.009286702232760291
2022-09-21,1674.76,-0.012971705063149375
2022-09-22,1647.57,-0.01986364934323248
